excitation, no sample in, blue torch
Integration time [ms]:  10.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1910018M1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 300.00;  255.647;  265.999;  281.387;-10.35256
 301.00;  264.246;  210.414;  250.663;53.83167
 302.00;  251.662;  285.956;  282.653;-34.29425
 303.00;  259.471;  272.234;  255.725;-12.76342
 304.00;  297.259;  254.710;  320.361;42.54867
 305.00;  249.526;  264.175;  293.381;-14.64901
 306.00;  250.398;  239.175;  294.954;11.22314
 307.00;  261.479;  265.550;  286.915;-4.07104
 308.00;  273.218;  271.675;  309.083; 1.54243
 309.00;  261.774;  233.955;  307.400;27.81856
 310.00;  259.056;  252.708;  264.729; 6.34788
 311.00;  307.325;  306.824;  332.781; 0.50164
 312.00;  282.612;  295.254;  264.097;-12.64234
 313.00;  254.912;  264.647;  295.922;-9.73505
 314.00;  287.827;  262.300;  284.610;25.52698
 315.00;  285.844;  289.241;  324.385;-3.39705
 316.00;  281.740;  286.299;  304.527;-4.55833
 317.00;  292.600;  272.922;  288.719;19.67805
 318.00;  238.862;  239.375;  281.626;-0.51352
 319.00;  256.389;  256.279;  293.664; 0.10983
 320.00;  291.664;  280.824;  297.354;10.83948
 321.00;  280.978;  243.997;  304.756;36.98043
 322.00;  261.250;  261.884;  289.992;-0.63381
 323.00;  266.674;  249.239;  243.948;17.43455
 324.00;  270.810;  273.355;  278.637;-2.54565
 325.00;  261.168;  227.815;  296.848;33.35274
 326.00;  277.426;  297.907;  295.583;-20.48116
 327.00;  266.354;  273.824;  321.608;-7.47082
 328.00;  254.851;  255.765;  286.382;-0.91428
 329.00;  250.258;  283.424;  268.364;-33.16599
 330.00;  250.386;  269.102;  291.523;-18.71526
 331.00;  268.150;  256.698;  297.988;11.45164
 332.00;  307.531;  277.881;  313.612;29.65078
 333.00;  275.302;  272.218;  304.219; 3.08400
 334.00;  268.137;  257.550;  291.070;10.58689
 335.00;  262.753;  242.590;  341.810;20.16250
 336.00;  259.295;  268.257;  282.299;-8.96244
 337.00;  282.350;  288.072;  310.355;-5.72183
 338.00;  258.293;  284.261;  293.018;-25.96863
